,Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
0,BUENOS AIRES,25 de Mayo,25 de Mayo,SI,SI,--,SI,SI,SI,SI,SI,SI
1,BUENOS AIRES,25 de Mayo,Agustín Mosconi,--,--,--,--,--,--,SI,--,--
2,BUENOS AIRES,25 de Mayo,Del Valle,SI,--,--,--,SI,SI,--,--,SI
3,BUENOS AIRES,25 de Mayo,Ernestina,SI,--,--,--,--,--,--,--,--
4,BUENOS AIRES,25 de Mayo,Gobernador Ugarte,--,--,--,--,--,--,--,SI,--
5,BUENOS AIRES,25 de Mayo,Lucas Monteverde,--,--,--,--,--,--,--,SI,--
6,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,--,SI,--,--,SI,SI,SI,SI,--
7,BUENOS AIRES,25 de Mayo,Pedernales,SI,--,--,--,SI,--,--,--,--
8,BUENOS AIRES,25 de Mayo,San Enrique,--,--,--,--,--,--,SI,--,--
9,BUENOS AIRES,25 de Mayo,Valdés,--,--,--,--,SI,--,SI,--,--
10,BUENOS AIRES,9 de Julio,12 de Octubre,--,--,--,--,--,--,SI,SI,--
11,BUENOS AIRES,9 de Julio,9 de Julio,SI,SI,SI,SI,SI,SI,SI,SI,--
12,BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),SI,--,--,--,SI,SI,SI,--,--
13,BUENOS AIRES,Carlos Tejedor,Curarú,--,--,--,--,--,--,SI,--,--
14,BUENOS AIRES,Carlos Tejedor,Timote,--,--,--,--,--,--,SI,--,--
15,BUENOS AIRES,Carlos Tejedor,Tres Algarrobos (Est. Cuenca),--,--,--,--,SI,SI,SI,--,SI
16,BUENOS AIRES,Carmen de Areco,Carmen de Areco,SI,SI,SI,SI,SI,SI,SI,SI,--
17,BUENOS AIRES,Carmen de Areco,Pueblo Gouin,--,--,--,--,--,--,--,SI,--
18,BUENOS AIRES,Carmen de Areco,Tres Sargentos,--,--,--,--,SI,--,SI,SI,--
19,BUENOS AIRES,Castelli,Castelli,SI,SI,--,SI,SI,SI,SI,SI,SI
20,BUENOS AIRES,Castelli,Centro Guerrero,--,--,--,SI,--,--,--,SI,--
21,BUENOS AIRES,Castelli,Cerro de la Gloria,--,--,--,SI,--,SI,--,--,--
22,BUENOS AIRES,Chacabuco,Castilla,--,--,--,--,--,--,SI,SI,--
23,BUENOS AIRES,Chacabuco,Chacabuco,SI,SI,SI,SI,SI,SI,SI,SI,--
24,BUENOS AIRES,Chacabuco,Los Angeles,--,--,--,--,SI,SI,--,--,--
25,BUENOS AIRES,Chacabuco,O'Higgins,SI,--,--,SI,SI,SI,SI,SI,--
26,BUENOS AIRES,General Juan Madariaga,General Juan Madariaga,SI,--,SI,SI,SI,SI,SI,--,--
27,BUENOS AIRES,General La Madrid,General La Madrid,SI,--,SI,SI,SI,SI,SI,SI,--
28,BUENOS AIRES,General La Madrid,La Colina,--,--,--,--,--,--,SI,--,--
29,BUENOS AIRES,General La Madrid,Las Martinetas,--,--,--,--,--,--,SI,--,--
30,BUENOS AIRES,General La Madrid,Líbano,--,--,--,--,--,--,SI,--,--
31,BUENOS AIRES,General La Madrid,Pontaut,--,--,--,--,--,SI,--,--,--
32,BUENOS AIRES,General Las Heras,General Hornos,--,--,--,--,SI,--,--,--,--
33,BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),SI,SI,SI,--,SI,SI,SI,SI,--
34,BUENOS AIRES,General Las Heras,La Choza,--,--,--,--,--,--,--,--,--
35,BUENOS AIRES,General Las Heras,Lozano,--,--,--,--,--,--,--,--,SI
36,BUENOS AIRES,General Las Heras,Plomer,--,--,--,--,--,--,SI,--,--
37,BUENOS AIRES,General Las Heras,Villars,--,SI,SI,SI,--,--,SI,--,--
38,BUENOS AIRES,General Lavalle,Chacras de San Clemente,--,--,--,--,--,--,--,SI,--
39,BUENOS AIRES,General Lavalle,General Lavalle,--,SI,--,--,SI,SI,SI,SI,SI
40,BUENOS AIRES,General Lavalle,Pavón,--,--,--,SI,SI,SI,--,SI,--
41,BUENOS AIRES,La Plata,La Plata,SI,SI,SI,SI,SI,SI,SI,SI,SI
42,BUENOS AIRES,La Plata,La Providencia,--,--,--,--,--,--,--,--,--
43,BUENOS AIRES,La Plata,Lisandro Olmos,--,SI,--,--,SI,SI,--,--,--
44,BUENOS AIRES,La Plata,Lomas de Copello,--,--,--,--,--,--,--,--,--
45,BUENOS AIRES,La Plata,Los Hornos,--,SI,--,SI,SI,SI,--,SI,--
46,BUENOS AIRES,La Plata,Manuel B Gonnet,--,SI,--,SI,SI,SI,--,--,--
47,BUENOS AIRES,La Plata,Poblet,--,--,--,--,--,--,--,--,--
48,BUENOS AIRES,La Plata,Ringuelet,--,SI,--,SI,SI,SI,--,--,--
49,BUENOS AIRES,La Plata,Rufino De Elizalde,--,--,--,--,SI,SI,--,--,--
50,BUENOS AIRES,La Plata,ruta del sol,SI,--,--,--,SI,SI,--,--,--
51,BUENOS AIRES,La Plata,ruta del sol,SI,--,--,--,SI,SI,--,--,--
52,BUENOS AIRES,La Plata,Tolosa,--,SI,--,SI,SI,SI,--,--,--
53,BUENOS AIRES,La Plata,Transradio,--,--,--,--,SI,SI,--,--,SI
54,BUENOS AIRES,Necochea,Juan N. Fernández,SI,--,--,--,SI,SI,SI,SI,SI
55,BUENOS AIRES,Necochea,Necochea - Quequén,SI,SI,SI,SI,SI,SI,SI,SI,SI
56,BUENOS AIRES,Necochea,Nicanor Olivera (Est. La Dulce),SI,--,SI,--,--,SI,SI,SI,--
57,BUENOS AIRES,Necochea,Ramón Santamarina,--,--,--,--,SI,SI,SI,--,--
58,BUENOS AIRES,Olavarría,Blancagrande,--,--,--,--,--,--,--,--,--
59,BUENOS AIRES,Olavarría,Colonia Hinojo,--,--,--,--,SI,--,--,--,--
60,BUENOS AIRES,Olavarría,Colonia Nievas,--,--,--,--,--,--,--,--,--
61,BUENOS AIRES,Olavarría,Colonia San Miguel,--,--,--,--,--,--,--,--,--
62,BUENOS AIRES,Olavarría,Espigas,--,--,--,--,--,--,SI,--,--
63,BUENOS AIRES,Olavarría,Hinojo,SI,--,--,--,SI,SI,SI,SI,SI
64,BUENOS AIRES,Olavarría,Olavarría,SI,SI,SI,SI,SI,SI,SI,--,SI
65,BUENOS AIRES,Olavarría,Recalde,--,--,--,--,--,--,SI,--,--
66,BUENOS AIRES,Olavarría,Santa Luisa,--,--,--,--,--,SI,--,--,--
67,BUENOS AIRES,Olavarría,Sierra Chica,--,SI,--,--,SI,SI,--,SI,--
68,BUENOS AIRES,Olavarría,Sierras Bayas,SI,--,SI,--,--,--,SI,SI,--
69,BUENOS AIRES,Vicente López,Villa Martelli,SI,SI,--,SI,SI,SI,SI,SI,--
70,BUENOS AIRES,Villa Gesell,Mar Azul,--,--,--,--,SI,SI,SI,--,--
71,BUENOS AIRES,Villa Gesell,Mar De Las Pampas,--,--,--,--,SI,SI,--,--,--
72,BUENOS AIRES,Villa Gesell,Villa Gesell,SI,--,--,SI,SI,SI,SI,--,--
73,BUENOS AIRES,Villarino,Argerich,--,--,--,--,--,--,SI,SI,--
74,BUENOS AIRES,Villarino,Colonia San Adolfo,--,--,--,--,--,--,--,--,--
75,BUENOS AIRES,Villarino,Country Los Medanos,--,--,--,--,--,--,--,SI,--
76,BUENOS AIRES,Villarino,Hilario Ascasubi,--,--,--,--,SI,SI,SI,--,--
77,BUENOS AIRES,Villarino,Juan Cousté (Est. Algarrobo),--,--,SI,--,SI,SI,SI,SI,--
78,BUENOS AIRES,Villarino,Mayor Buratovich,SI,--,--,SI,SI,SI,SI,--,--
79,BUENOS AIRES,Villarino,Médanos,SI,SI,SI,SI,SI,SI,SI,SI,--
80,CABA,COMUNA 01,CONSTITUCION,SI,SI,SI,SI,SI,SI,SI,SI,SI
81,CORDOBA,San Justo,Freyre,SI,SI,--,--,SI,SI,SI,SI,--
82,CORDOBA,San Justo,La Francia,SI,--,--,SI,SI,SI,SI,SI,--
83,CORDOBA,San Justo,La Paquita,--,--,--,--,SI,--,--,--,--
84,CORDOBA,San Justo,La Tordilla,SI,--,--,--,SI,SI,SI,SI,--
85,CORDOBA,San Justo,Las Varas,--,--,--,SI,SI,SI,SI,--,--
86,JUJUY,Susques,Jama,--,--,--,SI,--,--,--,--,--
87,CABA,COMUNA 09,PARQUE AVELLANEDA,SI,SI,SI,SI,SI,SI,SI,SI,SI
88,CORDOBA,San Justo,Las Varillas,SI,SI,--,SI,SI,SI,SI,--,SI
89,CORDOBA,San Justo,Marull,--,--,--,SI,SI,SI,SI,SI,SI
90,CORDOBA,San Justo,Miramar,--,SI,--,--,SI,SI,SI,SI,--
91,CORDOBA,San Justo,Morteros,SI,--,--,SI,SI,SI,SI,--,--
92,BUENOS AIRES,9 de Julio,Carlos María Naón,--,--,SI,--,SI,SI,SI,--,--
93,BUENOS AIRES,9 de Julio,Dudignac,--,--,SI,--,SI,SI,SI,SI,--
94,BUENOS AIRES,9 de Julio,La Aurora (Est. La Niña),--,--,--,--,SI,--,--,--,--
95,BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),SI,--,--,SI,SI,SI,SI,--,--
96,BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),--,--,--,--,SI,--,--,--,--
97,BUENOS AIRES,9 de Julio,Morea,--,--,--,--,--,--,--,--,--
98,BUENOS AIRES,9 de Julio,Norumbega,--,--,--,--,--,--,--,--,--
99,BUENOS AIRES,9 de Julio,Patricios,SI,--,--,--,--,SI,SI,--,--
100,BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),--,--,--,SI,SI,SI,SI,SI,--
101,BUENOS AIRES,Adolfo Alsina,Carhué,SI,--,--,SI,SI,SI,SI,SI,--
102,BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,SI,--,--,--,SI,--,SI,--,--
103,BUENOS AIRES,Adolfo Alsina,Delfín Huergo,--,--,--,--,--,--,--,--,--
104,BUENOS AIRES,Adolfo Alsina,Espartillar,--,--,--,--,SI,--,--,--,--
105,BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,--,--,--,--,--,--,SI,--,--
106,BUENOS AIRES,Adolfo Alsina,La Pala,--,--,--,--,--,--,--,--,--
107,BUENOS AIRES,Adolfo Alsina,Maza,--,--,--,SI,SI,SI,SI,SI,SI
108,BUENOS AIRES,Florencio Varela,El Tropezon,--,--,--,--,SI,SI,--,--,--
109,BUENOS AIRES,Florencio Varela,Estanislao Severo Zeballos,SI,SI,SI,SI,SI,SI,SI,--,--
110,BUENOS AIRES,Florencio Varela,Florencio Varela,SI,SI,SI,SI,SI,SI,SI,SI,SI
111,BUENOS AIRES,Florencio Varela,Gobernador Julio A. Costa,SI,SI,SI,SI,SI,SI,SI,--,--
112,BUENOS AIRES,Florencio Varela,Ingeniero Juan Allan,SI,SI,--,--,SI,SI,SI,--,--
113,BUENOS AIRES,Florencio Varela,La Capilla,SI,--,--,SI,SI,SI,SI,--,--
114,BUENOS AIRES,Florencio Varela,Villa Brown,--,SI,--,SI,SI,SI,--,--,--
115,BUENOS AIRES,Florencio Varela,Villa San Luis,--,SI,--,--,SI,SI,--,--,--
116,BUENOS AIRES,Florencio Varela,Villa Santa Rosa,SI,SI,SI,--,SI,SI,SI,--,--
117,JUJUY,Susques,Mina Providencia,--,--,--,SI,--,--,--,--,--
118,JUJUY,Susques,Olacapato,--,--,--,SI,--,--,--,SI,--
119,BUENOS AIRES,General Pueyrredón,Batán,SI,--,--,SI,SI,SI,SI,SI,SI
120,BUENOS AIRES,General Pueyrredón,Camet,SI,--,--,SI,SI,SI,SI,SI,--
121,BUENOS AIRES,General Pueyrredón,Chapadmalal,SI,--,SI,--,SI,SI,SI,SI,SI
122,BUENOS AIRES,General Pueyrredón,El Marquesado,--,--,--,--,--,--,SI,SI,--
123,BUENOS AIRES,General Pueyrredón,Estacion Camet,--,--,--,--,SI,SI,--,--,--
124,BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,SI,--,--,SI,SI,SI,--,SI,--
125,BUENOS AIRES,General Pueyrredón,Mar del Plata,SI,SI,SI,SI,SI,SI,SI,SI,SI
126,BUENOS AIRES,General Pueyrredón,Punta Mogotes,--,--,--,--,SI,SI,--,--,--
127,SAN LUIS,Libertador Grl. San Martín,Planta De Sandia,--,--,--,--,--,--,--,--,--
128,BUENOS AIRES,Olavarría,Villa Alfredo Fortabat,SI,--,--,--,SI,SI,SI,SI,--
129,BUENOS AIRES,Olavarría,Villa Arrieta,--,--,--,--,SI,SI,--,--,--
130,BUENOS AIRES,Olavarría,Villa La Serranía,--,--,--,--,SI,--,--,--,--
131,BUENOS AIRES,Patagones,Bahía San Blas,--,--,SI,--,SI,SI,SI,SI,--
132,BUENOS AIRES,Patagones,Cardenal Cagliero,--,--,--,--,SI,--,--,--,--
133,BUENOS AIRES,Patagones,Carmen de Patagones,SI,--,SI,SI,SI,SI,SI,SI,SI
134,BUENOS AIRES,Patagones,José B. Casas,--,--,--,--,--,--,--,SI,--
135,BUENOS AIRES,Patagones,Juan A. Pradere,--,SI,--,--,SI,--,--,SI,--
136,BUENOS AIRES,Patagones,Stroeder,--,--,--,SI,SI,SI,SI,SI,--
137,BUENOS AIRES,Patagones,Villalonga,SI,--,SI,SI,SI,SI,SI,SI,--
138,BUENOS AIRES,Pehuajó,Capitán Castro,--,--,--,--,--,--,--,SI,--
139,BUENOS AIRES,Pehuajó,Chiclana,--,--,--,--,SI,SI,--,SI,--
140,BUENOS AIRES,Pehuajó,Francisco Madero,--,--,SI,--,SI,SI,SI,SI,--
141,BUENOS AIRES,Pehuajó,Inocencio Sosa,--,--,--,--,--,--,--,SI,--
142,BUENOS AIRES,Villarino,Pedro Luro,SI,SI,--,SI,SI,SI,SI,SI,--
143,BUENOS AIRES,Villarino,Teniente Origone,--,--,--,--,SI,--,SI,SI,--
144,BUENOS AIRES,Zárate,Barrio Saavedra,--,--,--,--,SI,SI,--,--,--
145,BUENOS AIRES,Zárate,Country Club El Casco,--,--,--,--,SI,SI,--,--,--
146,BUENOS AIRES,Zárate,Escalada,--,--,--,--,--,--,--,--,--
147,BUENOS AIRES,Zárate,Lima,SI,SI,--,SI,SI,SI,SI,--,--
148,BUENOS AIRES,Zárate,Zárate,SI,SI,--,SI,SI,SI,SI,--,SI
149,CORDOBA,Santa María,Alta Gracia,SI,SI,--,SI,SI,SI,SI,SI,--
150,CORDOBA,Santa María,Anisacate,SI,--,--,SI,--,--,SI,SI,--
151,CORDOBA,Santa María,Barrio Gilbert,--,--,--,--,--,--,--,--,--
152,CORDOBA,Santa María,Barrio Las Quintas,--,--,--,--,--,SI,--,--,--
153,CORDOBA,Santa María,Barrio Villa del Parque,--,--,--,--,--,--,--,--,--
154,CORDOBA,Santa María,Bouwer,--,--,--,--,SI,SI,SI,--,--
155,CORDOBA,Santa María,Campos del Virrey,--,--,--,--,--,--,--,--,--
156,CORDOBA,Santa María,Caseros Centro,--,--,--,--,SI,--,--,--,--
157,CABA,COMUNA 01,MONSERRAT,SI,SI,SI,SI,SI,SI,SI,SI,SI
158,FORMOSA,Patiño,Las Lomitas,SI,--,--,SI,SI,SI,SI,SI,SI
159,FORMOSA,Patiño,Posta Cambio Zalazar,--,--,--,--,SI,--,--,SI,--
160,FORMOSA,Patiño,Pozo del Tigre,SI,--,--,--,SI,SI,SI,SI,--
161,FORMOSA,Patiño,San Martín I,--,--,--,--,--,--,--,--,--
162,FORMOSA,Patiño,San Martín II,--,--,--,SI,SI,--,SI,SI,--
163,FORMOSA,Patiño,Subteniente Perín,--,--,--,--,SI,--,--,SI,SI
164,FORMOSA,Patiño,Villa General Güemes,--,--,--,SI,SI,--,SI,SI,--
165,CABA,COMUNA 10,FLORESTA,SI,SI,SI,SI,SI,SI,SI,SI,SI
166,CORDOBA,Santa María,Causana,--,--,--,--,--,--,--,--,--
167,CORDOBA,Santa María,Costa Azul,--,--,--,--,SI,SI,--,--,--
168,CORDOBA,Santa María,Despeñaderos,SI,--,--,SI,SI,SI,SI,SI,--
169,CORDOBA,Santa María,Dique Chico,--,--,--,--,--,--,--,--,--
170,CORDOBA,Santa María,El Potrerillo,--,--,--,--,SI,SI,--,--,--
171,CORDOBA,Santa María,Falda del Cañete,--,--,--,--,SI,SI,--,--,--
172,CORDOBA,Santa María,Falda del Carmen,--,--,--,--,SI,--,SI,--,--
173,CORDOBA,Santa María,José de la Quintana,--,--,--,--,SI,--,--,--,--
174,CORDOBA,Santa María,La Boca del Río,--,--,--,--,--,--,SI,--,--
175,CORDOBA,Santa María,La Carbonada,--,--,--,--,SI,--,--,--,--
176,CABA,COMUNA 15,PATERNAL,SI,SI,SI,SI,SI,SI,SI,SI,SI
177,CORDOBA,Santa María,La Cumbrecita,--,--,--,--,--,--,SI,SI,--
178,CORDOBA,Santa María,La Donosa,--,--,--,--,--,--,--,SI,--
179,CORDOBA,Santa María,La Paisanita,SI,--,--,--,SI,--,SI,SI,--
180,CORDOBA,Santa María,La Perla,--,--,--,--,SI,SI,--,--,--
181,CORDOBA,Santa María,La Rancherita,--,--,--,--,--,--,--,SI,--
182,CORDOBA,Santa María,La Serranita,--,--,--,--,SI,SI,SI,SI,--
183,CORDOBA,Santa María,Los Cedros - Las Quintas,--,--,--,--,SI,SI,SI,--,--
184,CORDOBA,Santa María,Lozada,--,--,--,--,SI,SI,SI,SI,--
185,BUENOS AIRES,Adolfo Alsina,Rivera,--,--,SI,SI,SI,--,SI,--,--
186,BUENOS AIRES,Adolfo Alsina,Thames,--,--,--,--,--,--,--,--,--
187,BUENOS AIRES,Adolfo Alsina,Villa Margarita,--,--,--,--,--,--,--,--,--
188,BUENOS AIRES,Adolfo Alsina,Yutuyaco,--,--,--,--,--,--,--,--,--
189,BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves (Est. Chaves),SI,--,SI,SI,SI,SI,SI,SI,--
190,BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,SI,--,--,SI,SI,SI,SI,SI,--
191,BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,--,--,--,--,--,--,SI,SI,--
192,BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,--,--,--,--,SI,SI,SI,SI,--
193,BUENOS AIRES,Alberti,Alberti (Est. Andrés Vaccarezza),SI,--,SI,SI,SI,SI,SI,--,--
194,BUENOS AIRES,Alberti,Coronel Seguí,--,--,--,--,--,--,--,--,--
195,BUENOS AIRES,Alberti,Mechita,SI,--,--,--,SI,SI,--,--,--
196,BUENOS AIRES,Alberti,Pla,--,--,--,--,--,--,SI,--,--
197,BUENOS AIRES,Alberti,Villa Grisolía (Est. Achupallas),--,--,--,--,SI,SI,--,--,--
198,BUENOS AIRES,Alberti,Villa María,--,--,--,--,--,--,--,--,--
199,BUENOS AIRES,Alberti,Villa Ortiz (Est. Coronel Mom),--,--,--,--,SI,SI,SI,--,--
200,BUENOS AIRES,General Paz,Barrio Río Salado,--,--,--,--,--,--,--,--,--
201,BUENOS AIRES,General Paz,Loma Verde,--,--,--,--,SI,SI,SI,SI,--
202,BUENOS AIRES,General Pueyrredón,Sierra de los Padres,SI,--,SI,SI,SI,SI,SI,SI,--
203,BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,--,--,--,SI,SI,SI,--,--,--
204,BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,--,--,--,--,SI,SI,--,--,--
205,BUENOS AIRES,General Rodríguez,General Rodríguez,SI,SI,SI,SI,SI,SI,SI,SI,SI
206,BUENOS AIRES,General San Martín,Barrio Parque General San Martin,--,--,--,SI,SI,--,SI,SI,--
207,BUENOS AIRES,General San Martín,Billinghurst,SI,SI,--,SI,SI,SI,SI,--,--
208,BUENOS AIRES,General San Martín,Ciudad Del Libertador General San Martin,SI,SI,--,SI,SI,SI,SI,SI,SI
209,BUENOS AIRES,General San Martín,Ciudad Jardin El Libertador,--,--,--,--,SI,SI,--,--,--
210,BUENOS AIRES,General San Martín,Va Ma Irene De Los Remedios De Escalada,--,SI,--,--,SI,SI,--,--,--
211,BUENOS AIRES,General San Martín,Villa Ayacucho,--,SI,--,SI,SI,SI,--,--,--
212,BUENOS AIRES,Pehuajó,Juan José Paso,--,--,--,SI,SI,SI,SI,SI,--
213,BUENOS AIRES,Pehuajó,Magdala,--,--,--,--,--,--,SI,SI,--
214,BUENOS AIRES,Pehuajó,Mones Cazón,--,--,SI,--,SI,SI,SI,SI,--
215,BUENOS AIRES,Pehuajó,Nueva Plata,--,--,--,--,--,--,SI,SI,--
216,BUENOS AIRES,Pehuajó,Pehuajó,SI,--,SI,SI,SI,SI,SI,SI,--
217,BUENOS AIRES,Pehuajó,San Bernardo (Est. Guanaco),--,--,--,--,--,--,SI,SI,--
218,BUENOS AIRES,Pehuajó,San Esteban,--,--,--,--,--,--,--,SI,--
219,BUENOS AIRES,Pellegrini,Bocayuva,--,--,--,--,SI,--,--,--,--
220,BUENOS AIRES,Pellegrini,De Bary,--,--,--,--,--,--,--,--,--
221,BUENOS AIRES,Pellegrini,Pellegrini,SI,SI,SI,SI,SI,SI,SI,SI,SI
222,BUENOS AIRES,Pergamino,Acevedo,SI,SI,--,--,SI,SI,SI,SI,--
223,BUENOS AIRES,Pergamino,Fontezuela,SI,--,--,SI,--,--,SI,SI,--
224,BUENOS AIRES,Pergamino,Guerrico,--,SI,--,--,SI,SI,--,SI,--
225,BUENOS AIRES,Pergamino,Juan A. de la Peña,--,--,--,--,--,--,--,SI,--
226,BUENOS AIRES,Pergamino,Juan Anchorena (Est. Urquiza),SI,--,--,SI,SI,SI,SI,SI,--
227,CABA,COMUNA 01,PUERTO MADERO,SI,SI,SI,SI,SI,SI,SI,SI,SI
228,CATAMARCA,Ambato,Los Varela,--,--,--,--,SI,--,--,--,SI
229,CATAMARCA,Ambato,Singuil,--,--,--,--,SI,--,--,--,--
230,CATAMARCA,Ancasti,Ancasti,--,--,--,--,SI,--,--,--,SI
231,CATAMARCA,Ancasti,Anquincila,--,--,--,--,--,--,--,--,--
232,CATAMARCA,Ancasti,La Candelaria,--,--,--,--,--,--,--,--,--
233,CATAMARCA,Ancasti,La Majada,--,--,--,--,--,--,--,--,--
234,CATAMARCA,Andalgalá,Aconquija,--,--,--,--,SI,SI,--,--,SI
235,CATAMARCA,Andalgalá,Alto De Las Juntas,--,--,--,--,--,--,--,--,--
236,CATAMARCA,Andalgalá,Amanao,--,--,--,--,--,SI,--,--,--
237,CATAMARCA,Andalgalá,Andalgalá,SI,--,--,--,SI,SI,SI,SI,SI
238,CABA,COMUNA 10,MONTE CASTRO,SI,SI,SI,SI,SI,SI,SI,SI,SI
239,CORDOBA,Santa María,Malagueño,SI,--,--,SI,SI,SI,SI,SI,--
240,CORDOBA,Santa María,Mi Valle,--,--,--,--,--,--,--,--,--
241,CORDOBA,Santa María,Milenica,--,--,--,--,SI,SI,--,--,--
242,CORDOBA,Santa María,Monte Ralo,--,--,--,--,SI,SI,--,SI,--
243,CORDOBA,Santa María,Potrero de Garay,--,--,--,SI,SI,SI,SI,SI,--
244,CORDOBA,Santa María,Rafael García,--,--,--,--,SI,--,SI,SI,--
245,CORDOBA,Santa María,San Clemente,--,--,--,SI,SI,SI,SI,--,--
246,CABA,COMUNA 15,VILLA CRESPO,SI,SI,SI,SI,SI,SI,SI,SI,SI
247,FORMOSA,Patiño,Villa General Manuel Belgrano,--,--,--,SI,SI,--,SI,SI,--
248,FORMOSA,Pilagás,Buena Vista,--,--,--,SI,SI,--,SI,SI,--
249,FORMOSA,Pilagás,El Espinillo,--,--,--,--,SI,SI,SI,SI,--
250,FORMOSA,Pilagás,Laguna Gallo,--,--,--,--,--,--,--,--,--
251,FORMOSA,Pilagás,Misión Tacaagle,--,--,--,--,SI,--,SI,SI,--
252,FORMOSA,Pilagás,Portón Negro,--,--,--,--,--,--,--,--,--
253,FORMOSA,Pilagás,Tres Lagunas,SI,--,--,--,SI,--,SI,SI,SI
254,JUJUY,Valle Grande,Valle Grande,--,--,--,--,--,--,--,SI,--
255,JUJUY,Yavi,Barrios,--,--,--,SI,--,--,--,--,--
256,JUJUY,Yavi,Cangrejillos,--,--,--,SI,--,--,--,--,--
257,JUJUY,Yavi,El Cóndor,--,--,--,--,--,--,--,--,--
258,JUJUY,Yavi,La Intermedia,--,--,--,SI,--,--,--,--,--
259,JUJUY,Yavi,La Quiaca,SI,--,--,SI,SI,--,SI,SI,SI
260,JUJUY,Yavi,Llulluchayoc,--,--,--,--,--,--,--,--,--
261,JUJUY,Yavi,Pumahuasi,--,--,--,SI,SI,--,--,--,--
262,JUJUY,Yavi,San Jose,--,--,--,--,--,--,--,--,--
263,JUJUY,Yavi,Yavi,--,--,--,--,--,--,--,--,--
264,JUJUY,Yavi,Yavi Chico,--,--,--,SI,--,--,--,--,--
265,LA PAMPA,Atreucó,Doblas,--,SI,--,SI,--,--,SI,SI,SI
266,LA PAMPA,Atreucó,Macachín,--,--,--,SI,SI,--,SI,SI,SI
267,LA PAMPA,Atreucó,Miguel Riglos,--,--,--,SI,SI,--,SI,SI,SI
268,LA PAMPA,Atreucó,Rolón,--,--,--,--,SI,--,SI,SI,SI
269,LA PAMPA,Atreucó,Tomas M. Anchorena,--,--,--,--,--,--,SI,--,SI
270,LA PAMPA,Caleu Caleu,Anzoategui,--,--,--,--,--,--,--,--,SI
271,LA PAMPA,Caleu Caleu,La Adela,--,SI,--,--,SI,SI,--,SI,SI
272,LA PAMPA,Capital,Anguil,--,--,--,SI,SI,SI,SI,SI,SI
273,MENDOZA,San Martín,San Martín,SI,--,--,SI,SI,SI,--,SI,--
274,MENDOZA,San Martín,Tres Porteñas,--,--,--,SI,SI,SI,SI,SI,--
275,MENDOZA,San Rafael,25 de Mayo,--,SI,SI,--,SI,SI,SI,SI,--
276,MENDOZA,San Rafael,Barrio Campos El Toledano,--,--,--,--,SI,SI,--,--,--
277,MENDOZA,San Rafael,Barrio Echeverria,--,--,--,--,SI,SI,--,--,--
278,MENDOZA,San Rafael,Barrio El Nevado,--,--,--,--,--,--,--,--,--
279,MENDOZA,San Rafael,Barrio Empleados de Comercio,--,--,--,--,--,--,--,--,--
280,MENDOZA,San Rafael,Barrio Intendencia,--,--,--,--,SI,SI,--,--,--
281,MENDOZA,San Rafael,Barrio Las Rosas,--,--,--,--,--,--,--,--,--
282,MENDOZA,San Rafael,Barrio Primavera,--,--,--,--,--,--,--,--,--
283,MENDOZA,San Rafael,Capitán Montoya,--,--,--,--,SI,SI,--,SI,--
284,MENDOZA,San Rafael,Cuadro Benegas,SI,--,--,SI,--,--,SI,SI,--
285,MENDOZA,San Rafael,Cuadro Nacional,--,--,--,--,SI,SI,--,--,--
286,MENDOZA,San Rafael,El Nihuil,--,--,--,--,--,--,SI,SI,SI
287,MENDOZA,San Rafael,El Sosneado,--,--,--,SI,--,--,--,--,--
288,MENDOZA,San Rafael,El Tropezón,--,--,--,--,--,--,--,--,--
289,MENDOZA,San Rafael,Goudge,--,SI,--,--,SI,SI,SI,SI,--
290,NEUQUEN,Confluencia,Neuquén,SI,SI,SI,SI,SI,SI,SI,SI,SI
291,NEUQUEN,Confluencia,Plaza Huincul,--,--,--,--,SI,SI,--,SI,SI
292,NEUQUEN,Confluencia,Plottier,SI,SI,--,SI,SI,SI,--,SI,SI
293,NEUQUEN,Confluencia,Senillosa,--,--,--,SI,SI,SI,SI,SI,SI
294,NEUQUEN,Confluencia,Villa El Chocón,--,--,--,--,SI,--,SI,SI,--
295,NEUQUEN,Confluencia,Vista Alegre Norte,--,--,--,--,SI,SI,--,SI,--
